序号,                   年份,合 计,建设期,运营期,,,,,,,,,,,,,,
,项目     ,,,,,,,,,,,,,,,,,
,,,6个月,第1年,第2年,第3年,第4年,第5年,第6年,第7年,第8年,第9年,第10年,第11年,第12年,第13年,第14年,第15年
1,改造后电费,1768.31,,102.8,102.8,102.8,102.8,102.8,102.8,102.8,102.8,102.8,102.8,102.8,102.8,102.8,102.8,102.8
1.1,路灯改造后用电量（万度）,,,148.97,148.97,148.97,148.97,148.97,148.97,148.97,148.97,148.97,148.97,148.97,148.97,148.97,148.97,148.97
1.2,电费单价（元/度）,,,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69
2,职工薪酬费用,414,,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6
2.1,管理人员薪酬,144,,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6
,管理人员数量,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,平均工资（万元/年）,,,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6
2.2,维修人员薪酬,270,,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
,维修人员数量,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,平均工资（元/年）,,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
3,维修材料费,351,,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4
4,车辆费用,120,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
4.1,车辆租赁费,67.5,,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
4.2,车辆保险,14.25,,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
4.3,车辆维修费,15,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.4,车辆油费,23.25,,1.55,1.5,1.45,1.4,1.35,1.3,1.25,1.2,1.15,1.1,1.05,1,0.95,0.9,0.85
5,管理费用,30,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6,设备折旧费,611.67,,40.778,40.778,40.778,40.778,40.778,40.778,40.778,40.778,40.778,40.778,40.778,40.778,40.778,40.778,40.778
